Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
Vulkan überrascht Venus und Mars,http://www.wikidata.org/entity/Q2393412,Venus and Mars Surprised by Vulcan,Alte Pinakothek,mannerism,Bavarian State Painting Collections,,Jacopo Tintoretto,oil paint,,https://www.wga.hu/frames-e.html?/html/t/tintoret/7/2vulcan.html,public domain,,1555,http://commons.wikimedia.org/wiki/Special:FilePath/Jacopo%20Tintoretto%20035.jpg
Bärenjagd,http://www.wikidata.org/entity/Q29903456,Dogs and a bear fighting,Alte Pinakothek,,Bavarian State Painting Collections,,Jan Fyt,oil paint,,,public domain,,1636,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Fyt%20-%20B%C3%A4renjagd%20-%20255%20-%20Bavarian%20State%20Painting%20Collections.jpg
Rehe von Hunden verfolgt,http://www.wikidata.org/entity/Q30099497,Rehe von Hunden verfolgt,Alte Pinakothek,,Bavarian State Painting Collections,,Jan Fyt,Null,,,public domain,,1636,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Fyt%20-%20Rehe%20von%20Hunden%20verfolgt%20-%20203%20-%20Bavarian%20State%20Painting%20Collections.jpg
Jagdbeutestillleben mit Wolf,http://www.wikidata.org/entity/Q30056900,Hunting still life with wolf,Alte Pinakothek,,Bavarian State Painting Collections,,Jan Weenix,oil paint,,,public domain,,1702,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Weenix%20-%20Jagdbeutestillleben%20mit%20Wolf%20-%20778%20-%20Bavarian%20State%20Painting%20Collections.jpg
Aus der Serie der Monatsbilder: November,http://www.wikidata.org/entity/Q29952316,November: A Hunter,Bavarian State Painting Collections,,Bavarian State Painting Collections,,Joachim von Sandrart,oil paint,,https://www.wga.hu/html/s/sandrart/november.html,public domain,,1643,http://commons.wikimedia.org/wiki/Special:FilePath/Joachim%20von%20Sandrart%20-%20Der%20Monat%20November.jpg
Tanz in der Campagna,http://www.wikidata.org/entity/Q30093487,Tanz in der Campagna,Alte Pinakothek,,Bavarian State Painting Collections,,Johannes Lingelbach,Null,,,public domain,,1648,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Lingelbach%20-%20Tanz%20in%20der%20Campagna%20-%205849%20-%20Bavarian%20State%20Painting%20Collections.jpg
Aufspringender Hund,http://www.wikidata.org/entity/Q30064283,Aufspringender Hund,Neue Pinakothek,,Bavarian State Painting Collections,,Joseph Emanuel Weiser,oil paint,,,public domain,,1874,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Emanuel%20Weiser%20-%20Aufspringender%20Hund%20-%208846%20-%20Bavarian%20State%20Painting%20Collections.jpg
"Mutter, Kind und eine Herde in der Landschaft",http://www.wikidata.org/entity/Q30099189,Nursing mother with a boy and a dog with sheep in a landscape,Bavarian State Painting Collections,,Bavarian State Painting Collections,,Nicolaes Pieterszoon Berchem,oil paint,,,public domain,,1652,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolaes%20Berchem%20-%20Mutter%2C%20Kind%20und%20eine%20Herde%20in%20der%20Landschaft.jpg
Bärenjagd,http://www.wikidata.org/entity/Q30096339,Bärenjagd,Alte Pinakothek,,Bavarian State Painting Collections,,Paul de Vos,Null,,,public domain,,1637,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20de%20Vos%20-%20B%C3%A4renjagd%20-%204785%20-%20Bavarian%20State%20Painting%20Collections.jpg
Hirschjagd,http://www.wikidata.org/entity/Q30058412,Hirschjagd,Bavarian State Painting Collections,,Bavarian State Painting Collections,,Philipp Ferdinand de Hamilton,Null,,,public domain,,1715,http://commons.wikimedia.org/wiki/Special:FilePath/Philipp%20Ferdinand%20de%20Hamilton%20-%20Hirschjagd%20-%205951%20-%20Bavarian%20State%20Painting%20Collections.jpg
