Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
Paleis,http://www.wikidata.org/entity/Q61655246,Palace,Palais des Beaux-Arts de Lille,Dutch Golden Age painting,Palais des Beaux-Arts de Lille,,Willem Schubart von Ehrenberg,copper,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Wilhelm%20Schubert%20van%20Ehrenberg%20-%20A%20Palace.jpg
,http://www.wikidata.org/entity/Q111191203,Dog (fragment),Palazzo Ducale Mantua,,Palazzo Ducale Mantua,,Peter Paul Rubens,oil paint,,,,,1605,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20paul%20rubens%2C%20la%20famiglia%20gonzaga%20in%20adorazione%20della%20ss.%20trinit%C3%A0%2C%201605%2C%20frammenti%20erratici%2C%20cagnolino.jpg
Genre scene in the Roman countryside,http://www.wikidata.org/entity/Q110155030,Genre scene in the Roman countryside,Palazzo Zevallos Stigliano,,Palazzo Zevallos Stigliano,,Franz Ludwig Catel,paper,,https://progettocultura.intesasanpaolo.com/patrimonio-artistico/opere/scena-di-genere-nella-campagna-romana/,,,1818,http://commons.wikimedia.org/wiki/Special:FilePath/Genre%20scene%20in%20the%20Roman%20countryside%20%281818-20%29%20-%20Franz%20Ludwig%20Catel.jpg
,http://www.wikidata.org/entity/Q24196127,Casals and His Dog,Pau Casals Museum,,Pau Casals Museum,Pau Casals Museum,L. Colvans,oil paint,,,,,2000,
,http://www.wikidata.org/entity/Q52302307,Bênção dos canoões (Porto Feliz),Museu Paulista,,Paulista Museum Fund Collection,,Aurélio Zimmermann,oil paint,Brazil,http://www.scielo.br/pdf/anaismp/v26/1982-0267-anaismp-26-e34.pdf,public domain,,1920,http://commons.wikimedia.org/wiki/Special:FilePath/Zimmermann%2C%20Aur%C3%A9lio%20-%20B%C3%AAn%C3%A7%C3%A3o%20dos%20Cano%C3%B5es%20%28Porto%20Feliz%29.jpg
,http://www.wikidata.org/entity/Q42713734,Retrato de Dona Leopoldina de Habsburgo e Seus Filhos,Museu Paulista,,Paulista Museum Fund Collection,,Domenico Failutti,oil paint,Brazil,http://nuevomundo.revues.org/66390,public domain,,1921,http://commons.wikimedia.org/wiki/Special:FilePath/Failutti%2C%20Domenico%20-%20Retrato%20de%20Dona%20Leopoldina%20de%20Habsburgo%20e%20Seus%20Filhos.jpg
,http://www.wikidata.org/entity/Q59925285,"Prece nos ""Quatro Cantos"" - São Paulo, 1820",Museu Paulista,,Paulista Museum Fund Collection,,Eunice Monteiro de Barros,oil paint,Brazil,,,,1946,
,http://www.wikidata.org/entity/Q59925280,"Cortejo Nupcial de Fazendeiros, 1825",Museu Paulista,,Paulista Museum Fund Collection,,Franta Richter,oil paint,Brazil,,,,2000,
,http://www.wikidata.org/entity/Q59925462,"Pouso de Tropeiros, 1826",Museu Paulista,,Paulista Museum Fund Collection,,Franta Richter,oil paint,Brazil,,,,2000,
,http://www.wikidata.org/entity/Q59925278,"Pouso na Ponte de Jundiaí, 1825",Museu Paulista,,Paulista Museum Fund Collection,,Henrique Távola,oil paint,Brazil,,,,2000,
,http://www.wikidata.org/entity/Q59925436,"Caçadores, 1850",Museu Paulista,,Paulista Museum Fund Collection,,José da Cunha Vale,oil paint,Brazil,,,,2000,
,http://www.wikidata.org/entity/Q59925437,"Bandeira do Divino, 1850",Museu Paulista,,Paulista Museum Fund Collection,,La Porte,oil paint,Brazil,,,,2000,
,http://www.wikidata.org/entity/Q59925427,"Rancho de Tropeiros - São Félix, 1836",Museu Paulista,,Paulista Museum Fund Collection,,Zilda Pereira,oil paint,Brazil,,,,2000,
Southern landscape with travelers near a ruin,http://www.wikidata.org/entity/Q64800421,"A woman riding a horse, with a man and a dog near a ruin",Pavlovsk Museum-Preserve,,Pavlovsk Museum-Preserve,,Adriaen van Eemont,oil paint,,,public domain,,1650,
,http://www.wikidata.org/entity/Q20859890,Tobias Returning to His Family,Pennsylvania Academy of the Fine Arts,,Pennsylvania Academy of the Fine Arts,,Cecilia Beaux,Null,,https://www.pafa.org/collection/tobias-returning-his-family,public domain,,1888,
,http://www.wikidata.org/entity/Q20808986,The Garden Walk,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Émile Friant,Null,,,public domain,,1889,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Garden%20Walk.jpg
Rustende reizigers bij een herberg,http://www.wikidata.org/entity/Q20808927,The Halt at the Cottage,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Adriaen van Eemont,oil paint,,,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Adriaen%20van%20Eemont%20-%20The%20Halt%20at%20the%20Cottage%20Cat526.jpg
"Interior of the Grote kerk, Dordrecht",http://www.wikidata.org/entity/Q20808798,"Interior of the Groote Kerk, Dordrecht",Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Aelbert Cuyp,oil paint,,,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Aelbert%20Cuyp%20-%20Interior%20of%20the%20Grote%20Kerk%2C%20Dordrecht%20Cat1181.jpg
Landschap met runderen en een bokkend paard,http://www.wikidata.org/entity/Q20808799,Kicking Horse,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Aelbert Cuyp,oil paint,,,public domain,,1648,http://commons.wikimedia.org/wiki/Special:FilePath/Aelbert%20Cuyp%20-%20Kicking%20Horse%20Cat622.jpg
,http://www.wikidata.org/entity/Q20809527,Landscape with a Brook and a Village in Moonlight,Philadelphia Museum of Art,,Philadelphia Museum of Art,Charles Sedelmeyer,Aert van der Neer,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Aert%20van%20der%20Neer%20W1895-1-7.jpg
Rivierlandschap bij volle maan,http://www.wikidata.org/entity/Q63282354,Moonlight on the Canal,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Aert van der Neer,oil paint,,https://archive.org/stream/illustratedcatal00gale_1#page/28,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Illustrated%20catalogue%20of%20100%20paintings%20of%20old%20masters%20of%20the%20Dutch%2C%20Flemish%2C%20Italian%2C%20French%2C%20and%20English%20schools%20-%20belonging%20to%20the%20Sedelmeyer%20Gallery%2C%20which%20contains%20about%201000%20original%20paintings%20of%20%2814764522534%29.jpg
Venus trying to prevent Adonis from going hunting,http://www.wikidata.org/entity/Q20810161,Venus and Adonis,Philadelphia Museum of Art,,Philadelphia Museum of Art,Philadelphia Museum of Art,David Teniers the Younger,oil paint,,,public domain,,1655,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Teniers%20-%20Venus%20and%20Adonis%20Cat695-nyd.jpg
"Officer Writing a Letter, with a Trumpeter",http://www.wikidata.org/entity/Q20808448,"Officer Writing a Letter, with a Trumpeter and a Dog",Philadelphia Museum of Art,,Philadelphia Museum of Art,,Gerard ter Borch,oil paint,,,public domain,,1658,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20ter%20Borch%2C%20Dutch%20%28active%20Deventer%20after%201654%29%20-%20Officer%20Writing%20a%20Letter%2C%20with%20a%20Trumpeter%20-%20Google%20Art%20Project.jpg
Dune landscape,http://www.wikidata.org/entity/Q20809997,Dunes,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Jacob van Ruisdael,oil paint,,,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Ruisdael%20-%20Dunes.jpg
Landschap met korenveld,http://www.wikidata.org/entity/Q20810000,Sloping Field,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Jacob van Ruisdael,oil paint,,,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20van%20Ruisdael%20-%20Sloping%20Field.jpg
Hond aan ketting probeert uit een bak te eten,http://www.wikidata.org/entity/Q20808993,Watchdog Drinking Water,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Jan Fyt,oil paint,,,public domain,,1650,
,http://www.wikidata.org/entity/Q11924520,Dog Barking at the Moon,Philadelphia Museum of Art,,Philadelphia Museum of Art,,Joan Miró,oil paint,,,,,1926,
Cat playing with two dogs,http://www.wikidata.org/entity/Q20809815,Cat Playing with Two Dogs,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Paulus Potter,oil paint,,,public domain,,1652,http://commons.wikimedia.org/wiki/Special:FilePath/Paulus%20Potter%20-%20Cat%20Playing%20with%20Two%20Dogs%20Cat618.jpg
Uitdeling bij een klooster,http://www.wikidata.org/entity/Q60628609,Almsgiving,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Thomas Wijck,oil paint,,https://archive.org/details/cu31924020553024/page/n152,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Wyck%20-%20Almsgiving%20Cat611.jpg
Rustende figuren op een Italiaanse binnenplaats,http://www.wikidata.org/entity/Q60628695,Italians in a Cloister Court,Philadelphia Museum of Art,,Philadelphia Museum of Art,John G. Johnson,Thomas Wijck,oil paint,,https://archive.org/details/cu31924020553024/page/n152,public domain,,1660,
Portrait of Sir Andrew Fountaine (1676-1753) and unidentified sitters,http://www.wikidata.org/entity/Q12148255,Conversation Piece (Portrait of Sir Andrew Fountaine with Other Men and Women),Philadelphia Museum of Art,,Philadelphia Museum of Art,,William Hogarth,oil paint,,,public domain,,1730,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Hogarth%20-%20Portrait%20of%20Sir%20Andrew%20Fountaine%20with%20other%20people.jpg
The institution of the Eucharist during the Last Supper,http://www.wikidata.org/entity/Q3699475,Last Supper,Pinacoteca di Brera,,Pinacoteca di Brera,,Peter Paul Rubens,oil paint,,,public domain,,1631,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20-%20Last%20Supper%20-%20WGA20255.jpg
,http://www.wikidata.org/entity/Q68294680,Interior of a Kitchen with a Dog,Pitti Palace,,Pitti Palace,,Jan van Kessel the Elder,oil paint,,https://www.wga.hu/html/k/kessel/kitchen.html,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20van%20Kessel%20%28I%29%20-%20Interior%20of%20a%20Kitchen%20with%20a%20Dog%20-%20WGA12141.jpg
,http://www.wikidata.org/entity/Q40198402,A Marketplace in Plovdiv,Plovdiv Regional Ethnographic Museum,,Plovdiv Regional Ethnographic Museum,,Ivan Mrkvička,Null,,,public domain,,1888,http://commons.wikimedia.org/wiki/Special:FilePath/Plovdiv%20Mrkvicka.jpg
,http://www.wikidata.org/entity/Q114207479,Russian hunting,Moscow,realism,private,,Simon Kozhin,oil paint,,,works protected by copyrights,,2007,http://commons.wikimedia.org/wiki/Special:FilePath/Russian-hunting-oil-on-canv.jpg
,http://www.wikidata.org/entity/Q56549708,The Frozen river IJssel out of Kampen,Provinciaal Overijssels geschiedkundig Museum,,Provinciaal Overijssels geschiedkundig Museum,,Barent Avercamp,oil paint,,,public domain,,1640,http://commons.wikimedia.org/wiki/Special:FilePath/Barend%20Avercamp%20-%20The%20frozen%20river%20IJssel%20out%20of%20Kampen.jpg
,http://www.wikidata.org/entity/Q112123146,,Sanssouci Picture Gallery,,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,Frederick Henry of Orange-Nassau,Peter Paul Rubens,oil paint,,https://brandenburg.museum-digital.de/object/7353,,,1620,http://commons.wikimedia.org/wiki/Special:FilePath/Rubens%2C%20Peter%20Paul%20-%20Kr%C3%B6nung%20der%20Diana%20-%20Bildergalerie%20Sanssouci.jpg
Cattle at a wattering place,http://www.wikidata.org/entity/Q20017792,Cattle at a Watering Place,Pushkin Museum of Fine Arts,,Pushkin Museum of Fine Arts,,Nicolaes Pieterszoon Berchem,oil paint,,http://www.arts-museum.ru/data/fonds/europe_and_america/j/0000_1000/1824_Stado_u_vody/index.php?lang=en,public domain,,1659,http://commons.wikimedia.org/wiki/Special:FilePath/%27Cattle%20at%20a%20Watering%20Place%27%20by%20Nicolaes%20Pietersz.%20Berchem%2C%20Pushkin%20Museum.JPG
Efter hjemkomsten,http://www.wikidata.org/entity/Q20987330,After returning home,Randers Museum of Art,,Randers Museum of Art,,Emilie Mundt,oil paint,,https://www.kulturarv.dk/kid/VisVaerk.do?vaerkId=107676,public domain,,1892,http://commons.wikimedia.org/wiki/Special:FilePath/Efter%20hjemkomsten.jpg
Landschap met ford,http://www.wikidata.org/entity/Q108471579,A Landscape with a Ford,Sychrov Castle,,Regional Gallery of Liberec,Josef Oswald Graf von Thun-Hohenstein-Salm-Reifferscheidt,Jan Baptist Weenix,oil paint,,,,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Baptist%20Weenix%20-%20Landschap%20met%20ford%20-%20O%20-%20925%20-%20Regional%20Gallery%20of%20Liberec.jpg
,http://www.wikidata.org/entity/Q23901958,,Reial Acadèmia Catalana de Belles Arts de Sant Jordi,Art Nouveau,Reial Acadèmia Catalana de Belles Arts de Sant Jordi,Reial Acadèmia Catalana de Belles Arts de Sant Jordi,Albert Martorell Portas,paper,,,,,1912,
Landscape with Ruins,http://www.wikidata.org/entity/Q64514471,Landscape with Ruins,Rhode Island School of Design Museum,,Rhode Island School of Design Museum,Grigory Kushelev-Bezborodko,Karel Dujardin,oil paint,,https://risdmuseum.org/art-design/collection/landscape-ruins-20230,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Karel%20Dujardin%20-%20Landscape%20with%20Ruins%20-%2020.230%20-%20Rhode%20Island%20School%20of%20Design%20Museum.jpg
,http://www.wikidata.org/entity/Q20978127,The Surgeon with Wife and Daughter,Ribe Kunstmuseum,,Ribe Kunstmuseum,,Martinus Rørbye,oil paint,,,public domain,,1829,http://commons.wikimedia.org/wiki/Special:FilePath/Kirurgen%20Chr.%20Fenger%20med%20hustru%20og%20datter.jpg
Ruins of the gate of Huis ter Kleef near Haarlem (?),http://www.wikidata.org/entity/Q20983860,Ruins of the gate of Huis ter Kleef near Haarlem,private collection,,Richard Green Fine Paintings,"Sir Frederick Cook, 2nd Baronet",Jacob van Ruisdael,oil paint,,https://www.sothebys.com/en/buy/auction/2022/master-paintings-sculpture-part-i/a-ruined-castle-gateway-probably-the-archway-of,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jacov%20van%20Ruisdael%20-%20Archway%20of%20Huis%20Ter%20Kleef%2C%20Sotheby%27s%20NY%20Lot%2045%2027jan2022%2C%20137n10901-c3rzk-03-a.jpg
Portret van een familie in een parklandschap bij een geornamenteerde fontein,http://www.wikidata.org/entity/Q24283531,Portrait of a Family in a Landscape,private collection,,Richard Green Fine Paintings, 1st Viscount of Monserrate,Nicolaes Maes,oil paint,,https://archive.org/details/gri_33125001303870/page/n173,public domain,,1675,http://commons.wikimedia.org/wiki/Special:FilePath/File-Maes%2C%20Nicolaes%20-%20Familieportret%20-%20ca.%201675-6.jpg
Portret van Michiel Pompe van Slingeland (1643-1685),http://www.wikidata.org/entity/Q24411261,Portrait of Michiel Pompe van Slingelandt (1643-1685),Munich Central Collecting Point,,Rijksdienst Beeldende Kunst,Johanna Elisabeth de Wildt,Jacob Gerritsz. Cuyp,oil paint,,https://data.collectienederland.nl/resource/aggregation/rijkscollectie-rce/NK1695,public domain,,1649,http://commons.wikimedia.org/wiki/Special:FilePath/Michiel%20Pompe%20van%20Slingelandt%20%281643-1685%29%2C%20by%20Jacob%20Gerritsz%20Cuyp.jpg
Het geslachte rund,http://www.wikidata.org/entity/Q17323989,The slaughtered ox,Rijksmuseum,,Rijksmuseum,,Abraham van den Hecken,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-1305,public domain,,1635,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20geslachte%20rund%20Rijksmuseum%20SK-A-1305.jpeg
Een kersenverkoopster aan de deur,http://www.wikidata.org/entity/Q17338574,A Cherry Vendor at the Door,Rijksmuseum,,Rijksmuseum,,Abraham van Strij,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-4195,public domain,,1816,http://commons.wikimedia.org/wiki/Special:FilePath/Een%20kersenverkoopster%20aan%20de%20deur%20Rijksmuseum%20SK-A-4195.jpeg
Spring (The Meeting),http://www.wikidata.org/entity/Q17324783,Spring,Rijksmuseum,,Rijksmuseum,Daniel Franken,Adriaen van de Venne,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-1772,public domain,,1625,http://commons.wikimedia.org/wiki/Special:FilePath/Lente%20Rijksmuseum%20SK-A-1772.jpeg
De rijke man en de arme Lazarus,http://www.wikidata.org/entity/Q17331264,Lazarus and the rich man,Rijksmuseum,,Rijksmuseum,,Barent Fabritius,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-2960,public domain,,1661,http://commons.wikimedia.org/wiki/Special:FilePath/Barent%20Fabritius%20-%20De%20rijke%20man%20en%20de%20arme%20Lazarus%20-%20SK-A-2960%20-%20Rijksmuseum.jpg
Interieur met vijf dames,http://www.wikidata.org/entity/Q17338831,Five ladies in an interior,Rijksmuseum,,Rijksmuseum,,Bartholomeus van Bassen,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-4246,public domain,,1640,http://commons.wikimedia.org/wiki/Special:FilePath/Bartholomeus%20van%20Bassen%2C%20A%20Company%20in%20an%20Interior.jpg
Hunting Companions,http://www.wikidata.org/entity/Q17323691,Hunting Companions,Rijksmuseum,,Rijksmuseum,,Conradijn Cunaeus,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-1023,public domain,,1860,http://commons.wikimedia.org/wiki/Special:FilePath/%27Jachtgezellen%27%20Rijksmuseum%20SK-A-1023.jpeg
Philips II beschuldigt prins Willem van Oranje te Vlissingen bij zijn vertrek uit de Nederlanden in 1559,http://www.wikidata.org/entity/Q17323739,"Philip II, King of Spain, Reproaches William I, Prince of Orange, in Vlissingen upon his Departure from the Netherlands in 1559",Rijksmuseum,,Rijksmuseum,,Cornelis Kruseman,oil paint,Netherlands,https://data.collectienederland.nl/resource/aggregation/rijkscollectie-rce/B303,public domain,,1832,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20Kruseman%20-%20Philips%20II%20beschuldigt%20prins%20Willem%20van%20Oranje%20te%20Vlissingen%20bij%20zijn%20vertrek%20uit%20de%20Nederlanden%20in%201559%20-%20B303%20-%20Rijksmuseum.jpg
Kerkinterieur met Christus predikend voor een menigte,http://www.wikidata.org/entity/Q17325393,Church Interior with Christ Preaching to a Crowd,Rijksmuseum,,Rijksmuseum,,Cornelis van Dalem,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-1991,public domain,,1550,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20van%20Dalem%20%28attr.%29%20and%20Jan%20van%20Wechelen%20%28attr.%29%20-%20Church%20interior%20with%20Christ%20preaching%20to%20a%20crowd.jpg
De zondeval,http://www.wikidata.org/entity/Q17319828,The Fall of Man,Rijksmuseum,,Rijksmuseum,,Cornelis van Haarlem,oil paint,Netherlands,https://www.wga.hu/html/c/cornelis/fall_man.html,public domain,,1592,http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20van%20Haarlem%20-%20De%20zondeval.jpg
Church Interior,http://www.wikidata.org/entity/Q17324383,Church interior,Rijksmuseum,,Rijksmuseum,,Daniël de Blieck,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-1604,public domain,,1652,http://commons.wikimedia.org/wiki/Special:FilePath/Kerkinterieur.%20Rijksmuseum%20SK-A-1604.jpeg
Een boer met zijn vrouw en kind voor de boerderij,http://www.wikidata.org/entity/Q17342483,A peasant with his wife and child in front of the farmhouse,Rijksmuseum,,Rijksmuseum,Amsterdam Museum,David Teniers the Younger,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-C-299,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Teniers%20-%20Een%20boer%20met%20zijn%20vrouw%20en%20kind%20voor%20de%20boerderij.jpg
Interieur van een protestantse gotische kerk,http://www.wikidata.org/entity/Q17342382,Interior of a Protestant Gothic Church,Rijksmuseum,,Rijksmuseum,Adriaan van der Hoop,Emanuel de Witte,oil paint,Netherlands,https://hart.amsterdam/nl/collectie/object/amcollect/38801,public domain,,1670,http://commons.wikimedia.org/wiki/Special:FilePath/Interieur%20van%20een%20protestantse%20gotische%20kerk%20Rijksmuseum%20SK-C-270.jpeg
"Interieur van de Oude Kerk te Delft, 1654",http://www.wikidata.org/entity/Q17324364,Interior of the Old Church in Delft,Rijksmuseum,,Rijksmuseum,Margaretha Catharina van Lennep,Gerard Houckgeest,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-1584,public domain,,1654,http://commons.wikimedia.org/wiki/Special:FilePath/Interieur%20van%20de%20Oude%20Kerk%20in%20Delft%20Rijksmuseum%20SK-A-1584.jpeg
Memorieportret van Moses ter Borch,http://www.wikidata.org/entity/Q17341344,Memorial Portrait of Moses ter Borch,Rijksmuseum,,Rijksmuseum,Thomas Jefferson Bryan,Gerard ter Borch,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-4908,public domain,,1668,http://commons.wikimedia.org/wiki/Special:FilePath/Borch%2C%20Gerard%20Ter%20II%20and%20Borch%2C%20Gesina%20-%20Memorial%20Portrait%20of%20Moses%20ter%20Borch%20-%201667-69.jpg
The Conferring of a Degree at the University of Leiden about 1650,http://www.wikidata.org/entity/Q17330561,The conferring of a degree at the University of Leiden around 1650,Rijksmuseum,,Rijksmuseum,,Hendrick van der Burgh,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-2720,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/A%20graduation%20ceremony%20at%20Leiden%20University%20about%201650%2C%20by%20Hendrick%20van%20der%20Burgh.jpg
Still life in a stable,http://www.wikidata.org/entity/Q17330805,Still life in a stable,Rijksmuseum,,Rijksmuseum,,Hendrik Potuyl,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-2790,public domain,,1640,http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20in%20een%20stal%20Rijksmuseum%20SK-A-2790.jpeg
The interior of Saint Bavo's Church in Haarlem,http://www.wikidata.org/entity/Q17320356,The interior of Saint Bavo's Church in Haarlem,Rijksmuseum,,Rijksmuseum,,Isaak van Nickelen,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-360,public domain,,1660,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20interieur%20van%20de%20Sint%20Bavokerk%20te%20Haarlem%20Rijksmuseum%20SK-A-360.jpeg
"Regenten van het Leprozenhuis te Amsterdam, 1674",http://www.wikidata.org/entity/Q20266529,Regents of the Leper's house in Amsterdam,Amsterdam Museum,,Rijksmuseum,,Jacob Ochtervelt,oil paint,,,public domain,,1674,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Ochtervelt%20-%20Regenten%20van%20de%20Leprozenhuis%201674.jpg
De bedreigde zwaan,http://www.wikidata.org/entity/Q17319634,The Threatened Swan,Gallery of Honour,,Rijksmuseum,Jan Gildemeester,Jan Asselijn,oil paint,Netherlands,http://europeana.eu/portal/record//90402/SK_A_4.html,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/De%20bedreigde%20zwaan%20Rijksmuseum%20SK-A-4.jpeg
Een hond en een kat bij een half geslachte ree,http://www.wikidata.org/entity/Q17321321,A Dog and a Cat near a partially disembowelled Deer,Rijksmuseum,,Rijksmuseum,,Jan Baptist Weenix,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-591,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Baptist%20Weenix%20-%20A%20Dog%20and%20a%20Cat%20near%20a%20Partially%20Disembowelled%20Deer.jpg
Het toilet,http://www.wikidata.org/entity/Q17336080,Woman at her Toilet,Rijksmuseum,,Rijksmuseum,Gerrit Braamcamp,Jan Steen,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-4052,public domain,,1657,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20016.jpg
Het bezoek bij de kraamvrouw,http://www.wikidata.org/entity/Q17341886,Visit to a New Mother,Rijksmuseum,,Rijksmuseum,Adriaan van der Hoop,Moritz Calisch,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-C-117,public domain,,1835,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20bezoek%20bij%20de%20kraamvrouw%20Rijksmuseum%20SK-C-117.jpeg
Orpheus en de dieren,http://www.wikidata.org/entity/Q17320075,Orpheus and the Animals,Rijksmuseum,,Rijksmuseum,Willem Lormier,Paulus Potter,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-317,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/Orpheus%20en%20de%20dieren%20Rijksmuseum%20SK-A-317.jpeg
"Domino-spelend vissers, genaamd 'Dubbel-blank'",http://www.wikidata.org/entity/Q18607722,"Domino-spelend vissers, genaamd 'Dubbel-blank'",Rijksmuseum,,Rijksmuseum,,Petrus Van der Velden,oil paint,Netherlands,https://data.collectienederland.nl/resource/aggregation/rijkscollectie-rce/B496,public domain,,1879,http://commons.wikimedia.org/wiki/Special:FilePath/Double%20Blank%20by%20Petrus%20van%20der%20Velden%20Rijksdienst%20voor%20het%20Cultureel%20Erfgoed%20B496.jpg
The Kicking White Horse,http://www.wikidata.org/entity/Q17320974,The bucking gray,Rijksmuseum,,Rijksmuseum,,Philips Wouwerman,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-483,public domain,,1650,http://commons.wikimedia.org/wiki/Special:FilePath/De%20slaande%20schimmel%20Rijksmuseum%20SK-A-483.jpeg
"Een moeder die het haar van haar kind reinigt, bekend als �Moedertaak�",http://www.wikidata.org/entity/Q17341997,A Mother's Duty,Rijksmuseum,,Rijksmuseum,Amsterdam Museum,Pieter de Hooch,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-C-149,public domain,,1658,http://commons.wikimedia.org/wiki/Special:FilePath/Een%20moeder%20die%20het%20haar%20van%20haar%20kind%20reinigt%2C%20bekend%20als%20%E2%80%98Moedertaak%E2%80%99%20Rijksmuseum%20SK-C-149.jpeg
De vaart bij 's-Graveland,http://www.wikidata.org/entity/Q13571630,The canal at 's-Graveland,Rijksmuseum,,Rijksmuseum,,Pieter Gerardus van Os,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-3230,public domain,,1818,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20van%20Os%20Canal.jpg
Een kerkinterieur bij kaarslicht,http://www.wikidata.org/entity/Q17320037,A church interior by candlelight,Rijksmuseum,,Rijksmuseum,Adriaan Leonard van Heteren Gevers,Pieter Neefs the Elder,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-A-289,public domain,,1636,http://commons.wikimedia.org/wiki/Special:FilePath/Een%20kerkinterieur%20bij%20kaarslicht%20Rijksmuseum%20SK-A-289.jpeg
Maria Mathilda Bingham with Two of her Children,http://www.wikidata.org/entity/Q17347340,Maria Mathilda Bingham with Two of her Children,Rijksmuseum,,Rijksmuseum,,Thomas Lawrence,oil paint,Netherlands,https://www.rijksmuseum.nl/nl/collectie/SK-C-1649,public domain,,1810,http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Mathilda%20Bingham%20met%20twee%20van%20haar%20kinderen%20Rijksmuseum%20SK-C-1649.jpeg
